stadtbezirksnummer,stadtbezirk,haushalte_zusammen,haushalte_mit_1_person,haushalte_mit_2_personen,haushalte_mit_3_personen,haushalte_mit_4_personen,haushalte_mit_5_personen_und_mehr
1,Altstadt-Lehel,12656,8041,2800,956,656,203
2,Ludwigsvorstadt-Isarvorstadt,30399,19609,6584,2301,1492,413
3,Maxvorstadt,32693,22043,6754,2166,1317,413
4,Schwabing West,40883,25038,9409,3512,2261,663
5,Au-Haidhausen,37377,22178,8718,3390,2405,686
6,Sendling,24441,14790,5763,2102,1383,403
7,Sendling-Westpark,34903,19498,8638,3448,2443,876
8,Schwanthalerhöhe,17087,10444,3835,1467,1019,322
9,Neuhausen-Nymphenburg,57395,32893,13803,5455,3923,1321
10,Moosach,29462,15178,7786,3176,2405,917
11,Milbertshofen-Am Hart,39329,21222,9557,4186,3004,1360
12,Schwabing-Freimann,40392,22811,9586,3913,2998,1084
13,Bogenhausen,50161,25767,13122,5464,4303,1505
14,Berg am Laim,25810,14219,6304,2665,1840,782
15,Trudering-Riem,36114,15302,10135,4969,4126,1582
16,Ramersdorf-Perlach,61251,29892,16321,7162,5433,2443
17,Obergiesing-Fasangarten,30992,18284,7284,2809,1972,643
18,Untergiesing-Harlaching,31192,18246,7317,2917,2096,616
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,54556,28129,14470,6005,4432,1520
20,Hadern,25888,12660,7144,2956,2313,815
21,Pasing-Obermenzing,41538,19956,11216,4938,4076,1352
22,Aubing-Lochhausen-Langwied,27713,11469,7658,3841,3267,1478
23,Allach-Untermenzing,17083,7096,4892,2355,2073,667
24,Feldmoching-Hasenbergl,30642,14031,8000,3964,3306,1341
25,Laim,33377,19744,8052,2919,1986,676
